30128;30;G�n�rac;4012;20;43;2,51%;oui;66;;57833;57833;0;1;0;5;4;7;26
30141;30;Laudun-l'Ardoise;5978;20;332;14,28%;;;;35019;;15;107;13;183;0;2;12
30155;30;Manduel;6128;20;212;7,67%;;;;40289;40289;64;125;14;0;3;5;1
30156;30;Marguerittes;8538;20;219;6,06%;oui;0;;64812;;42;132;29;0;4;6;6
30169;30;Milhaud;5725;20;199;8,56%;oui;0;;35091;35091;21;143;26;4;0;5;0
30202;30;Pont-Saint-Esprit;10651;20;738;15,25%;;;exon�r�e;;;41;273;61;248;17;9;86
30206;30;Poulx;4001;20;6;0,39%;oui;42;;44635;9383;0;5;0;0;0;1;0
30209;30;Pujaut;4068;25;2;0,12%;;;;76288;76288;0;0;0;0;2;0;0
30211;30;Redessan;4044;20;73;4,81%;;;;23092;23092;6;45;20;0;1;1;0
30217;30;Rochefort-du-Gard;7499;25;196;6,72%;oui;90;;132360;;11;149;26;5;0;4;1
30223;30;Rousson;3829;20;26;1,55%;oui;0;;24297;24297;0;0;20;0;0;6;0
30243;30;Saint-Christol-l�s-Al�s;6776;20;287;9,02%;;;;47823;47823;30;229;11;3;5;9;0
30258;30;Saint-Gilles;13646;20;864;14,74%;;;;41931;41931;42;263;7;457;12;76;7
30259;30;Saint-Hilaire-de-Brethmas;4253;20;98;4,93%;oui;11;;42027;42027;17;38;28;0;2;13;0
30284;30;Saint-Martin-de-Valgalgues;4244;20;289;14,70%;;;;12689;;25;126;0;80;1;2;0
30294;30;Saint-Privat-des-Vieux;4890;20;86;3,75%;oui;98;;107552;107552;32;30;15;5;0;4;0
30333;30;Uchaud;4203;20;119;6,64%;oui;0;;27919;27919;17;82;16;0;2;2;0
30351;30;Villeneuve-l�s-Avignon;12232;25;428;7,36%;oui;53;;296202;82399;44;245;54;73;0;12;0
31022;31;Aucamville;8119;25;480;12,28%;;;;104817,36;104817,36;24;112;65;0;0;1;0
31032;31;Aussonne;6739;25;323;11,70%;;;;63968,86;63968,86;29;112;57;0;0;3;0
